subscriber_number,fid,created_at_timestamp
107,865726,1748376394.37252
108,509490,1748376394.37948
109,247352,1748376395.12490
110,559395,1748376395.12826
111,241375,1748376395.14514
112,768760,1748376398.38655
113,398080,1748376398.39084
114,316402,1748376398.39163
115,188294,1748376398.41074
116,259173,1748376403.47838
117,896656,1748376407.52134
118,459680,1748376409.85667
119,17929,1748376409.87274
120,17935,1748376411.49772
121,211726,1748376413.86874
122,240778,1748376413.87435
123,1042893,1748376415.51537
124,685132,1748376416.96748
125,552368,1748376417.08068
126,285829,1748376419.06376
127,239344,1748376420.99192
128,576,1748376423.62014
129,196171,1748376423.77357
130,334099,1748376424.09933
131,687760,1748376424.10922
132,17060,1748376427.08189
133,14660,1748376427.12903
134,366724,1748376431.10206
135,750067,1748376431.11967
136,1047915,1748376435.15577
137,251062,1748376435.16068
138,8169,1748376436.38250
139,657792,1748376437.15609
140,1002869,1748376439.11995
141,8054,1748376439.66568
142,793979,1748376439.66952
143,227425,1748376439.68076
144,254091,1748376443.13163
145,566433,1748376443.13804
146,444273,1748376448.27981
147,1083964,1748376448.70199
148,509529,1748376449.24670
149,1016979,1748376452.02209
150,509543,1748376452.10129
151,509512,1748376452.70673
152,217593,1748376452.72436
153,408659,1748376456.02767
154,933847,1748376456.73219
155,737468,1748376456.76734
156,1089873,1748376456.77228
157,246449,1748376460.59763
158,262952,1748376460.72375
159,1091107,1748376460.72454
160,301251,1748376464.62880
161,189255,1748376468.51567
162,246287,1748376468.92002
163,273425,1748376470.65428
164,238647,1748376472.92619
165,5952,1748376473.95975
166,867650,1748376473.96353
167,284673,1748376473.98572
168,496789,1748376474.64456
169,549954,1748376474.64880
170,236102,1748376475.91013
171,344904,1748376476.94309
172,498630,1748376478.66992
173,241862,1748376478.68009
174,338577,1748376479.89092
175,292642,1748376480.96751
176,452962,1748376482.48330
177,924620,1748376482.48588
178,287447,1748376482.67533
179,428765,1748376483.94085
180,254022,1748376483.94637
181,509561,1748376483.97084
182,299509,1748376484.95820
183,369,1748376484.95987
184,290326,1748376484.97758
185,963515,1748376484.97805
186,1091153,1748376486.49527
187,851,1748376486.50903
188,7011,1748376486.68996
189,228065,1748376486.70110
190,20510,1748376487.88195
191,649040,1748376487.92118
192,11213,1748376487.92343
193,2417,1748376487.92579
194,2982,1748376490.50910
195,241620,1748376490.51125
196,290464,1748376490.51328
197,414139,1748376490.54101
198,2458,1748376490.70718
199,1050835,1748376491.94524
200,14035,1748376491.94783
201,226882,1748376492.99768
202,215609,1748376492.99949
203,317138,1748376493.02272
204,210276,1748376494.52430
205,1606,1748376494.52666
206,190968,1748376494.71401
207,1025074,1748376494.71762
208,276901,1748376494.72450
209,873914,1748376495.97507
210,287174,1748376495.97732
211,1236,1748376495.97941
212,976360,1748376496.25437
213,4368,1748376496.99931
214,571978,1748376498.52885
215,236138,1748376498.53092
216,263354,1748376498.54649
217,1048799,1748376498.72228
218,211145,1748376498.72846
219,365325,1748376498.73445
220,7960,1748376498.83570
221,3875,1748376499.99393
222,15850,1748376499.99811
223,262457,1748376500.01689
224,10799,1748376500.02549
225,404008,1748376500.03402
226,21168,1748376501.03247
227,717690,1748376501.03631
228,191432,1748376501.03679
229,245997,1748376501.04970
230,423827,1748376502.54424
231,512380,1748376502.55957
232,917404,1748376502.60936
233,12172,1748376502.72271
234,19640,1748376504.01265
235,13707,1748376504.01798
236,245629,1748376504.01967
237,303198,1748376504.02073
238,19796,1748376504.05410
239,6567,1748376504.05463
240,560744,1748376504.22297
241,577,1748376505.01995
242,212459,1748376505.02137
243,20384,1748376505.02916
244,230238,1748376505.03183
245,413873,1748376505.03520
246,1023284,1748376506.55266
247,13495,1748376506.55356
248,285040,1748376506.77733
249,433546,1748376508.12184
250,451903,1748376509.05015
251,415368,1748376510.57032
252,11959,1748376510.57579
253,688499,1748376510.59024
254,348244,1748376510.59068
255,1180,1748376510.75387
256,217622,1748376510.75856
257,1024920,1748376510.76045
258,272794,1748376510.76110
259,17043,1748376510.76193
260,19627,1748376510.77687
261,344928,1748376512.01113
262,9933,1748376512.01164
263,274082,1748376512.01222
264,455653,1748376512.03897
265,6622,1748376512.04194
266,272717,1748376513.05164
267,18763,1748376513.05277
268,615508,1748376513.05539
269,345497,1748376513.05840
270,309861,1748376513.07856
271,1355,1748376513.10159
272,887512,1748376514.59296
273,189781,1748376514.60063
274,334768,1748376514.60401
275,217780,1748376514.60490
276,454072,1748376514.60922
277,1021242,1748376514.76632
278,297066,1748376514.77186
279,22274,1748376514.79620
280,1886,1748376515.65067
281,340920,1748376516.01741
282,587691,1748376516.03307
283,9766,1748376517.06533
284,456384,1748376518.59020
285,245724,1748376518.78987
286,342821,1748376518.79247
287,1091168,1748376518.79516
288,560075,1748376518.79881
289,864915,1748376518.80693
290,328626,1748376518.82595
291,14324,1748376520.03700
292,300624,1748376520.04886
293,419982,1748376520.05199
294,237344,1748376520.05654
295,269124,1748376520.06166
296,12048,1748376521.06666
297,7242,1748376521.06892
298,473065,1748376521.08666
299,512174,1748376521.08764
300,1050777,1748376522.60432
301,237215,1748376522.60805
302,506378,1748376522.60851
303,279320,1748376522.61296
304,287718,1748376522.80191
305,5094,1748376522.80801
306,4373,1748376522.81835
307,963513,1748376522.81975
308,378425,1748376522.83375
309,278997,1748376522.83512
310,21479,1748376522.84141
311,1045196,1748376524.04202
312,11599,1748376524.04765
313,712936,1748376524.05316
314,216736,1748376524.07160
315,349775,1748376525.08856
316,1091150,1748376525.08966
317,237602,1748376525.10436
318,2242,1748376525.10801
319,3115,1748376525.63359
320,869347,1748376526.55934
321,308045,1748376526.62421
322,425782,1748376526.63224
323,410486,1748376526.63262
324,17408,1748376526.63724
325,282672,1748376526.65107
326,383044,1748376526.85195
327,4167,1748376526.85263
328,3557,1748376526.85623
329,570919,1748376527.88760
330,704295,1748376528.05332
331,343855,1748376529.11253
332,561399,1748376529.11826
333,12480,1748376529.12041
334,424604,1748376529.15180
335,468214,1748376530.62837
336,20215,1748376530.63209
337,449411,1748376530.63250
338,882987,1748376530.64677
339,287750,1748376530.64772
340,232312,1748376530.83659
341,8447,1748376530.84139
342,5774,1748376530.84369
343,923149,1748376530.84750
344,288578,1748376530.85079
345,22060,1748376530.86276
346,10695,1748376530.86413
347,1091087,1748376532.07907
348,401906,1748376532.08447
349,254044,1748376532.08964
350,305968,1748376532.08977
351,1091027,1748376532.09179
352,1091141,1748376532.13355
353,15095,1748376533.12170
354,984352,1748376533.12794
355,246637,1748376533.13598
356,1091096,1748376533.13641
357,386018,1748376533.15621
358,12567,1748376533.16337
359,494027,1748376534.64126
360,296422,1748376534.64346
361,260838,1748376534.64562
362,221578,1748376534.65878
363,13749,1748376534.84085
364,303874,1748376534.87848
365,24128,1748376536.11699
366,377447,1748376536.11765
367,411257,1748376536.12124
368,1091175,1748376536.12170
369,1090964,1748376537.14497
370,475184,1748376537.15039
371,938091,1748376537.15571
372,245721,1748376537.16126
373,832728,1748376538.35603
374,1091165,1748376538.66493
375,639226,1748376538.66678
376,586718,1748376538.80211
377,931846,1748376538.81947
378,888893,1748376538.87963
379,291698,1748376538.88021
380,1091045,1748376538.88435
381,296049,1748376540.14499
382,14359,1748376540.67543
383,315947,1748376541.14394
384,1091049,1748376541.14723
385,1091040,1748376541.14814
386,237980,1748376541.14876
387,257704,1748376541.15268
388,1091208,1748376541.15508
389,448885,1748376541.15779
390,275716,1748376542.45423
391,9891,1748376542.66952
392,3882,1748376542.67282
393,18637,1748376542.67325
394,1091202,1748376542.67881
395,5745,1748376542.69140
396,253637,1748376542.86060
397,2745,1748376542.86294
398,509569,1748376544.12039
399,17996,1748376544.13933
400,278068,1748376544.13980
401,305890,1748376544.14122
402,434480,1748376544.14880
403,242222,1748376544.15684
404,472680,1748376544.16544
405,238370,1748376545.19470
406,290012,1748376545.19518
